item_id,feature,target,stimulus,state,spans,covered,todo,percent,excluded,max_nesting,cross,conditions,directive,detail,source,generate
TP0034,core,currentlyEnabled,extension_gate,partial,60,29,31,48.3,0,0,,,"run with this extension enabled, and again with it disabled",Ext_Zic64b,core/extensions.sail:80,opcode_sweep.py core/extensions.sail
TP2004,postlude,write_CSR,helper_function,partial,47,23,24,48.9,0,1,,"match (csr, value)","execute an instruction that calls this helper: CSRImm, CSRReg",write_CSR() reached via 2 instruction(s),postlude/csr_end.sail:276,opcode_sweep.py extensions/Zicsr/zicsr_insts.sail
TP1364,V,riscv_f32Recip7,helper_function,partial,20,10,10,50.0,0,1,,match float_classify(v),"execute an instruction that calls this helper: vfsqrt.v, vfrsqrt7.v, vfrec7.v, vfclass.v",riscv_f32Recip7() reached via 4 instruction(s),extensions/V/vext_fp_utils_insts.sail:582,opcode_sweep.py extensions/V/vext_fp_insts.sail
TP2313,sys,update_PTE_Bits,helper_function,partial,14,7,7,50.0,0,1,,if update_d | update_a,"execute an instruction that calls this helper: amoswap, amoadd, amoxor, amoand, amoor, amomin, amomax, amominu, ...",update_PTE_Bits() reached via 8+ instruction(s),sys/vmem_pte.sail:255,opcode_sweep.py extensions/A/zaamo_insts.sail extensions/cfi/zicfiss_insts.sail extensions/Zicbop/zicbop_insts.sail
TP0206,core,width_enc,unclassified,partial,8,4,4,50.0,0,0,,,read the guard and decide what arranges it,,core/types.sail:424,opcode_sweep.py core/types.sail
TP1969,pmp,pmpMatchAddr,pmp,partial,8,4,4,50.0,0,1,,match pmpAddrMatchType_encdec(ent[A]),program a PMP entry of this match type and access across its boundary,,pmp/pmp_control.sail:79,opcode_sweep.py pmp/pmp_control.sail
TP0123,core,virtual_memory_supported,extension_gate,partial,6,3,3,50.0,0,0,,,"run with this extension enabled, and again with it disabled",Ext_Sv32,core/sys_regs.sail:143,opcode_sweep.py core/sys_regs.sail
TP0166,core,legalize_satp,extension_gate,partial,6,3,3,50.0,0,3,yes,"if xlen == 32 AND match satpMode_of_bits(arch, 0b000 @ s[Mode]) AND Some(Sv_mode) => match Sv_mode","run with this extension enabled, and again with it disabled",Ext_Svbare,core/sys_regs.sail:740,opcode_sweep.py core/sys_regs.sail
TP0180,core,architecture_bits,unclassified,partial,6,3,3,50.0,0,0,,,read the guard and decide what arranges it,,core/types.sail:61,opcode_sweep.py core/types.sail
TP0202,core,legalize_extStatus,helper_function,partial,6,3,3,50.0,0,1,,match policy,"execute an instruction that calls this helper: CSRImm, CSRReg",legalize_extStatus() reached via 2 instruction(s),core/types.sail:369,opcode_sweep.py extensions/Zicsr/zicsr_insts.sail
