address,name,privilege_from_address,feature_group,read_write_behaviour,source
0x3E4,pmpaddr52,Machine,pmp,Not directly derivable from Sail,pmp/pmp_regs.sail:239
0x3E5,pmpaddr53,Machine,pmp,Not directly derivable from Sail,pmp/pmp_regs.sail:240
0x3E6,pmpaddr54,Machine,pmp,Not directly derivable from Sail,pmp/pmp_regs.sail:241
0x3E7,pmpaddr55,Machine,pmp,Not directly derivable from Sail,pmp/pmp_regs.sail:242
0x3E8,pmpaddr56,Machine,pmp,Not directly derivable from Sail,pmp/pmp_regs.sail:243
0x3E9,pmpaddr57,Machine,pmp,Not directly derivable from Sail,pmp/pmp_regs.sail:244
0x3EA,pmpaddr58,Machine,pmp,Not directly derivable from Sail,pmp/pmp_regs.sail:245
0x3EB,pmpaddr59,Machine,pmp,Not directly derivable from Sail,pmp/pmp_regs.sail:246
0x3EC,pmpaddr60,Machine,pmp,Not directly derivable from Sail,pmp/pmp_regs.sail:247
0x3ED,pmpaddr61,Machine,pmp,Not directly derivable from Sail,pmp/pmp_regs.sail:248
0x3EE,pmpaddr62,Machine,pmp,Not directly derivable from Sail,pmp/pmp_regs.sail:249
0x3EF,pmpaddr63,Machine,pmp,Not directly derivable from Sail,pmp/pmp_regs.sail:250
0x60C,hstateen0,Hypervisor/VS,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:49
0x60D,hstateen1,Hypervisor/VS,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:50
0x60E,hstateen2,Hypervisor/VS,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:51
0x60F,hstateen3,Hypervisor/VS,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:52
0x61C,hstateen0h,Hypervisor/VS,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:53
0x61D,hstateen1h,Hypervisor/VS,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:54
0x61E,hstateen2h,Hypervisor/VS,Stateen,Not directly derivable from Sail,extensions/Stateen/stateen_csrs.sail:55
