name,extension_group,signature,operand_types,enum_operands,forms,encdec_clauses,compressed,config_prerequisites,source
C_BEQZ,C,"(bits(8), cregidx)",bits(8);cregidx,,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:377
C_BNEZ,C,"(bits(8), cregidx)",bits(8);cregidx,,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:390
C_SLLI,C,"(bits(6), regidx)",bits(6);regidx,,1,1,True,(xlen == 64 | shamt[5] == 0b0) & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:403
C_LWSP,C,"(bits(6), regidx)",bits(6);regidx,,1,1,True,rd != zreg & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:418
C_LDSP,C,"(bits(6), regidx)",bits(6);regidx,,1,1,True,rd != zreg & xlen == 64 & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:434
C_SWSP,C,"(bits(6), regidx)",bits(6);regidx,,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:450
C_SDSP,C,"(bits(6), regidx)",bits(6);regidx,,1,1,True,xlen == 64 & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:465
C_JR,C,(regidx),regidx,,1,1,True,rs1 != zreg & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:481
C_JALR,C,(regidx),regidx,,1,1,True,rs1 != zreg & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:495
C_MV,C,"(regidx, regidx)",regidx;regidx,,1,1,True,rs2 != zreg & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:509
C_EBREAK,C,unit,unit,,1,1,True,currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:525
C_ADD,C,"(regidx, regidx)",regidx;regidx,,1,1,True,rs2 != zreg & currentlyEnabled(Ext_Zca),extensions/C/zca_insts.sail:538
C_LBU,C,"(bits(2), cregidx, cregidx)",bits(2);cregidx;cregidx,,1,1,True,currentlyEnabled(Ext_Zcb),extensions/C/zcb_insts.sail:11
C_LHU,C,"(bits(2), cregidx, cregidx)",bits(2);cregidx;cregidx,,1,1,True,currentlyEnabled(Ext_Zcb),extensions/C/zcb_insts.sail:30
C_LH,C,"(bits(2), cregidx, cregidx)",bits(2);cregidx;cregidx,,1,1,True,currentlyEnabled(Ext_Zcb),extensions/C/zcb_insts.sail:49
C_SB,C,"(bits(2), cregidx, cregidx)",bits(2);cregidx;cregidx,,1,1,True,currentlyEnabled(Ext_Zcb),extensions/C/zcb_insts.sail:68
C_SH,C,"(bits(2), cregidx, cregidx)",bits(2);cregidx;cregidx,,1,1,True,currentlyEnabled(Ext_Zcb),extensions/C/zcb_insts.sail:87
C_ZEXT_B,C,(cregidx),cregidx,,1,1,True,currentlyEnabled(Ext_Zcb),extensions/C/zcb_insts.sail:106
C_SEXT_B,C,(cregidx),cregidx,,1,1,True,currentlyEnabled(Ext_Zcb) & currentlyEnabled(Ext_Zbb),extensions/C/zcb_insts.sail:124
C_ZEXT_H,C,(cregidx),cregidx,,1,1,True,currentlyEnabled(Ext_Zcb) & currentlyEnabled(Ext_Zbb),extensions/C/zcb_insts.sail:141
C_SEXT_H,C,(cregidx),cregidx,,1,1,True,currentlyEnabled(Ext_Zcb) & currentlyEnabled(Ext_Zbb),extensions/C/zcb_insts.sail:158
C_ZEXT_W,C,(cregidx),cregidx,,1,1,True,currentlyEnabled(Ext_Zcb) & currentlyEnabled(Ext_Zba) & xlen == 64,extensions/C/zcb_insts.sail:175
C_NOT,C,(cregidx),cregidx,,1,1,True,currentlyEnabled(Ext_Zcb),extensions/C/zcb_insts.sail:192
C_MUL,C,"(cregidx, cregidx)",cregidx;cregidx,,1,1,True,currentlyEnabled(Ext_Zcb) & (currentlyEnabled(Ext_M) | currentlyEnabled(Ext_Zmmul)),extensions/C/zcb_insts.sail:210
F_MADD_TYPE_D,FD,"(fregidx, fregidx, fregidx, rounding_mode, fregidx, f_madd_op_D)",fregidx;fregidx;fregidx;rounding_mode;fregidx;f_madd_op_D,rounding_mode(6);f_madd_op_D(4),24,4,False,"haveDoubleFPU() & validDoubleRegs([rs3, rs2, rs1, rd])",extensions/FD/dext_insts.sail:245
